id,country,city,date,lattitude,longitude,max_temp,wind_speed,humidity,cloudiness
1510502,RU,Belokurikha,1556936469,52.0,84.99,47.01,5.68,40,0
1261853,IN,Narasannapeta,1556936470,18.42,84.04,88.32,8.08,70,100
1808857,CN,Hanzhong,1556936472,33.08,107.03,73.74,2.95,53,1
3840300,AR,Presidencia Roque Saenz Pena,1556936268,-26.79,-60.44,72.64,4.97,95,97
5850554,US,Makakilo City,1556936170,21.35,-158.09,82.4,5.82,69,75
2016910,RU,Severobaykalsk,1556936475,55.65,109.32,24.15,6.24,79,100
2720382,SE,Hede,1556936439,60.45,15.49,28.0,5.82,100,100
4944903,US,Nantucket,1556936236,41.28,-70.1,52.0,5.93,93,90
5955902,CA,Fort Nelson,1556935200,58.81,-122.69,28.4,3.36,74,90
2026657,RU,Birakan,1556936481,49.02,131.7,61.93,9.35,16,82
207570,CD,Mwene-Ditu,1556936482,-7.01,23.45,70.5,3.11,74,27
2128975,JP,Nemuro,1556931600,43.32,145.57,62.6,10.29,45,0
1507390,RU,Dikson,1556935950,73.51,80.55,10.83,6.02,90,0
2635199,GB,Ullapool,1556936421,57.9,-5.16,36.0,19.77,91,24
779554,NO,Honningsvag,1556936487,70.98,25.97,28.99,5.82,70,91
965528,ZA,Phalaborwa,1556935200,-23.95,31.14,64.4,2.24,52,0
286621,OM,Salalah,1556931000,17.01,54.1,82.4,2.24,78,20
1514125,UZ,Dustlik,1556936491,40.53,68.03,59.97,2.66,56,0
3441894,UY,Maldonado,1556931600,-34.91,-54.96,57.2,15.9,93,75
1862505,JP,Hirara,1556931600,24.8,125.28,77.0,17.22,57,20
5851349,US,Nanakuli,1556936471,21.39,-158.15,82.4,5.82,69,75
6320062,BR,Vila Velha,1556936291,-3.71,-38.6,80.6,4.7,83,20
7626384,NO,Hovd,1556936464,63.83,10.7,39.2,17.22,86,75
3397963,BR,Itamaraca,1556935200,-7.75,-34.83,80.6,11.41,74,40
4732862,US,Nome,1556936480,30.04,-94.42,75.99,3.36,88,1
4500920,US,Brigantine,1556936493,39.41,-74.36,57.99,4.7,100,90
2120591,RU,Tilichiki,1556936503,60.47,166.1,41.22,10.92,51,13
5688025,US,Bismarck,1556936165,46.81,-100.78,59.0,9.17,47,1
3457147,BR,Mineiros,1556936258,-17.57,-52.55,69.39,2.86,88,99
3187524,BA,Vlasenica,1556933400,44.18,18.94,46.4,5.82,65,0
2013332,RU,Volno-Nadezhdinskoye,1556933400,43.38,131.99,68.0,2.24,32,0
5961417,CA,Husavik,1556936489,50.56,-96.99,51.01,7.0,75,100
2707399,SE,Hassleholm,1556936397,56.16,13.77,35.01,8.05,89,100
525426,RU,Sobolevo,1556936513,54.43,31.9,35.49,0.78,80,9
3461370,BR,Imbituba,1556931600,-28.24,-48.67,77.0,9.17,88,0
3355672,NA,Luderitz,1556931600,-26.65,15.16,57.2,10.29,87,0
1733782,BN,Victoria,1556933400,5.28,115.24,86.0,1.12,79,75
4792494,US,Waverly,1556936518,37.04,-77.1,77.0,7.0,88,1
3652462,EC,San Cristobal,1556936112,-0.39,-78.55,62.6,10.29,87,20
2108502,SB,Honiara,1556931600,-9.43,159.96,89.6,11.41,75,40
5030005,US,Hibbing,1556936278,47.43,-92.94,42.8,8.05,93,90
549797,RU,Kholm,1556936524,57.15,31.18,30.58,5.66,79,0
4354256,US,Elkridge,1556936451,39.21,-76.71,66.99,5.19,93,1
3932145,PE,Pisco,1556936232,-13.71,-76.2,68.0,11.41,82,0
